plant_id,plant_label,timestamp_hour,generation_ac_kw,generation_dc_kw,ambient_temperature_c,module_temperature_c,irradiation,plant_peak_reference_kw,capacity_factor,hour_sin,hour_cos
4136001,Plant_2,2020-05-17 03:00:00,0.0,0.0,24.14236402327586,22.082544433333332,0.0,20427.251,0.0,0.7071067811865475,0.7071067811865476
4135001,Plant_1,2020-05-17 04:00:00,0.0,0.0,22.825052916666667,20.967664583333335,0.0,27610.891,0.0,0.8660254037844386,0.5000000000000001
4136001,Plant_2,2020-05-17 04:00:00,0.0,0.0,24.657507652298847,23.161558972701147,1.1197060858333331e-05,20427.251,0.0,0.8660254037844386,0.5000000000000001
4135001,Plant_1,2020-05-17 05:00:00,0.0,0.0,22.56940003452381,21.014346436904763,8.33637205e-05,27610.891,0.0,0.9659258262890683,0.25881904510252074
4136001,Plant_2,2020-05-17 05:00:00,0.0,0.0,24.687412416091952,23.10274438017241,2.349676384482758e-05,20427.251,0.0,0.9659258262890683,0.25881904510252074
4135001,Plant_1,2020-05-17 06:00:00,777.219642865,8020.19196425,22.780542049999998,21.898464,0.029804955638333325,27610.891,0.028149024342061253,1.0,6.123233995736766e-17
4136001,Plant_2,2020-05-17 06:00:00,567.3472619047619,587.1634523809523,25.047627615229885,24.309674456896552,0.020345673924080425,20427.251,0.027774038802615288,1.0,6.123233995736766e-17
4135001,Plant_1,2020-05-17 07:00:00,5937.74821435,60543.3660715,23.785956519047616,27.036007041666664,0.21195417485238088,27610.891,0.21505094545300985,0.9659258262890683,-0.25881904510252063
4136001,Plant_2,2020-05-17 07:00:00,3692.420357142857,3773.8975,26.534753045402297,28.590435852011492,0.11996992321120685,20427.251,0.18075953328927408,0.9659258262890683,-0.25881904510252063
4135001,Plant_1,2020-05-17 08:00:00,12564.4558036,128218.37499975,25.97143091666667,39.30826661666667,0.43525991499999994,27610.891,0.45505434082514756,0.8660254037844387,-0.4999999999999998
4136001,Plant_2,2020-05-17 08:00:00,13285.585595238093,13559.783571428572,29.35839642557471,42.74446732729886,0.46885442606609185,20427.251,0.6503853893623813,0.8660254037844387,-0.4999999999999998
4135001,Plant_1,2020-05-17 09:00:00,17692.66473235,180816.81696525,28.375963504761906,47.53485876190476,0.6042784054880952,27610.891,0.6407857222843696,0.7071067811865476,-0.7071067811865475
4136001,Plant_2,2020-05-17 09:00:00,17442.729047619046,17829.224404761902,31.04778758333333,48.6591020275862,0.6633044615287356,20427.251,0.8538950761225309,0.7071067811865476,-0.7071067811865475
4135001,Plant_1,2020-05-17 10:00:00,22159.221429125,226837.57142975,30.33595685,51.79666196666666,0.7530183226666667,27610.891,0.8025536528004474,0.49999999999999994,-0.8660254037844387
4136001,Plant_2,2020-05-17 10:00:00,15520.189047619047,15866.80869047619,32.52578689856322,50.15019534942529,0.6668502075718391,20427.251,0.7597786431281942,0.49999999999999994,-0.8660254037844387
4135001,Plant_1,2020-05-17 11:00:00,25013.164582875,256402.05356899998,31.88541513452381,60.1113761095238,0.9144147961666667,27610.891,0.905916603085174,0.258819045102521,-0.9659258262890682
4136001,Plant_2,2020-05-17 11:00:00,13526.416547619046,13822.084404761905,33.761205697126435,48.83689366551724,0.5948765272011494,20427.251,0.662175079143985,0.258819045102521,-0.9659258262890682
4135001,Plant_1,2020-05-17 12:00:00,20181.87008905,206562.37946475,33.05976041666667,56.041961300000004,0.7314588040000001,27610.891,0.7309387476503384,1.2246467991473532e-16,-1.0
4136001,Plant_2,2020-05-17 12:00:00,17503.545,17887.907023809523,34.21890991178161,49.23511059109195,0.607318401612069,20427.251,0.8568722732197298,1.2246467991473532e-16,-1.0
4135001,Plant_1,2020-05-17 13:00:00,16702.277678325,170837.45982125,33.680019560714285,50.87901851904762,0.5605612115714285,27610.891,0.6049162875013704,-0.2588190451025208,-0.9659258262890683
